"UID","participant","input_model","fitted_model","nLL","lambda","beta","tau","recency","surprise_plus","full_r","full_s","asymmetry","id","age_bin","education"
232,169,"NoMemory","full",78.9343738853382,-0.484684517191383,-0.717958659253756,-3.86725600873473,NA,NA,-778.151656777592,-332.371704374429,0.743307553379031,169,"18-27","Undergraduate degree (BA/BSc/other)"
232,169,"NoMemory","full",108.720584337122,-1.10009918371268,0.653874030677663,-6.7505441185196,NA,NA,29.1590277166725,-5.94270651600792,0.743307553379031,169,"18-27","Undergraduate degree (BA/BSc/other)"
232,169,"NoMemory","full",80.822321389841,-0.678760148141539,-0.520418952201843,-4.30523883360366,NA,NA,-747.113729698198,-116.738755279943,0.743307553379031,169,"18-27","Undergraduate degree (BA/BSc/other)"
232,169,"NoMemory","null",78.7093224762659,-0.509718454821554,-0.688078520567857,-3.89180391289624,NA,NA,NA,NA,NA,169,"18-27","Undergraduate degree (BA/BSc/other)"
232,169,"NoMemory","null",107.648754606667,-0.640858841079163,-0.670429484221417,-4.18787477621955,NA,NA,NA,NA,NA,169,"18-27","Undergraduate degree (BA/BSc/other)"
232,169,"NoMemory","null",79.8826325587782,-0.572769877134071,-0.657988179607653,-3.92532224670482,NA,NA,NA,NA,NA,169,"18-27","Undergraduate degree (BA/BSc/other)"
232,169,"NoMemory","recency",89.5857160709582,-1.35326840339079,2.81227762516757,-9.79882382131085,41.6161859359627,NA,NA,NA,NA,169,"18-27","Undergraduate degree (BA/BSc/other)"
232,169,"NoMemory","null",80.9905993646578,-0.533859079979792,-0.690980019287226,-3.85644805979072,NA,NA,NA,NA,NA,169,"18-27","Undergraduate degree (BA/BSc/other)"
232,169,"NoMemory","full",87.7371487091286,-0.43917392079106,-0.777669427410498,-3.80564804159066,NA,NA,-949.829197309934,-76.8081780060117,0.743307553379031,169,"18-27","Undergraduate degree (BA/BSc/other)"
232,169,"NoMemory","recency",87.7211376343613,-0.500947579878566,-0.556102019672546,-3.85510701775584,-751.071198477862,NA,NA,NA,NA,169,"18-27","Undergraduate degree (BA/BSc/other)"
